indice,tiempo_s,velocidad_mps,velocidad_sin_media
111,11.583999999999975,0.792,-0.14603731343283577
112,11.589999999999975,0.788,-0.15003731343283577
113,11.597999999999985,0.787,-0.15103731343283577
114,11.603999999999985,0.832,-0.10603731343283584
115,11.61099999999999,0.895,-0.04303731343283579
116,11.61699999999999,0.942,0.003962686567164142
117,11.696999999999974,0.924,-0.014037313432835763
118,11.799999999999983,0.906,-0.03203731343283578
119,11.899000000000001,0.819,-0.11903731343283586
120,11.998999999999995,0.789,-0.14903731343283577
121,12.09899999999999,0.778,-0.16003731343283578
122,12.198999999999984,0.835,-0.10303731343283584
123,12.302999999999997,0.926,-0.012037313432835761
124,12.399000000000001,0.904,-0.03403731343283578
125,12.500999999999976,0.855,-0.08303731343283582
126,12.597999999999985,0.845,-0.09303731343283583
127,12.699999999999989,0.838,-0.10003731343283584
128,12.799999999999983,0.881,-0.0570373134328358
129,12.899000000000001,0.936,-0.0020373134328357523
130,12.998999999999995,0.948,0.009962686567164147
131,13.09899999999999,0.943,0.004962686567164143
132,13.198999999999984,0.893,-0.04503731343283579
133,13.301999999999992,0.809,-0.12903731343283575
134,13.399000000000001,0.791,-0.14703731343283577
135,13.5,0.807,-0.13103731343283576
136,13.59899999999999,0.846,-0.09203731343283583
137,13.698999999999984,0.885,-0.0530373134328358
138,13.799999999999983,0.883,-0.0550373134328358
139,13.899000000000001,0.806,-0.13203731343283576
140,13.998999999999995,0.771,-0.1670373134328358
141,14.09899999999999,0.805,-0.13303731343283576
142,14.198999999999984,0.862,-0.07603731343283582
143,14.301999999999992,0.9,-0.038037313432835784
144,14.399000000000001,0.947,0.008962686567164146
145,14.500999999999976,0.886,-0.0520373134328358
146,14.59899999999999,0.809,-0.12903731343283575
147,14.699999999999989,0.781,-0.15703731343283578
148,14.800999999999988,0.812,-0.12603731343283575
149,14.899999999999977,0.833,-0.10503731343283584
150,14.998999999999995,0.912,-0.026037313432835774
151,15.097999999999985,0.906,-0.03203731343283578
152,15.197999999999979,0.912,-0.026037313432835774
153,15.301999999999992,0.829,-0.10903731343283585
154,15.399000000000001,0.799,-0.13903731343283576
155,15.500999999999976,0.869,-0.06903731343283581
156,15.59899999999999,0.936,-0.0020373134328357523
157,15.698999999999984,1.008,0.0699626865671642
158,15.798999999999978,0.969,0.030962686567164166
159,15.899000000000001,0.889,-0.049037313432835794
160,16.0,0.766,-0.1720373134328358
161,16.099999999999994,0.721,-0.21703731343283583
162,16.19999999999999,0.736,-0.20203731343283582
163,16.302999999999997,0.839,-0.09903731343283584
164,16.399,0.886,-0.0520373134328358
165,16.500999999999976,0.881,-0.0570373134328358
166,16.59899999999999,0.863,-0.07503731343283582
167,16.69999999999999,0.835,-0.10303731343283584
168,16.800999999999988,0.81,-0.12803731343283575
169,16.899999999999977,0.864,-0.07403731343283582
170,17.0,0.911,-0.027037313432835774
171,17.099999999999994,0.899,-0.039037313432835785
172,17.19999999999999,0.882,-0.0560373134328358
173,17.302999999999997,0.804,-0.13403731343283576
174,17.399,0.779,-0.15903731343283578
175,17.502999999999986,0.763,-0.1750373134328358
176,17.599999999999994,0.784,-0.15403731343283578
177,17.69999999999999,0.815,-0.12303731343283586
178,17.800999999999988,0.897,-0.04103731343283579
179,17.899999999999977,0.909,-0.029037313432835776
180,18.0,0.855,-0.08303731343283582
181,18.099999999999994,0.834,-0.10403731343283584
182,18.19999999999999,0.772,-0.1660373134328358
183,18.302999999999997,0.816,-0.12203731343283586
184,18.399999999999977,0.925,-0.013037313432835762
185,18.500999999999976,0.957,0.018962686567164155
186,18.599999999999994,0.949,0.010962686567164148
187,18.69999999999999,0.871,-0.06703731343283581
188,18.800999999999988,0.789,-0.14903731343283577
189,18.899999999999977,0.738,-0.20003731343283582
190,19.0,0.795,-0.14303731343283577
191,19.099999999999994,0.849,-0.08903731343283583
192,19.19999999999999,0.856,-0.08203731343283582
193,19.302999999999997,0.899,-0.039037313432835785
194,19.399999999999977,0.862,-0.07603731343283582
195,19.50199999999998,0.809,-0.12903731343283575
196,19.599999999999994,0.839,-0.09903731343283584
197,19.69999999999999,0.867,-0.07103731343283581
198,19.799999999999983,0.91,-0.028037313432835775
199,19.899999999999977,0.947,0.008962686567164146
200,20.0,0.923,-0.015037313432835764
201,20.101,0.891,-0.04703731343283579
202,20.19999999999999,0.801,-0.13703731343283576
203,20.303999999999974,0.765,-0.1730373134328358
204,20.399999999999977,0.796,-0.14203731343283577
205,20.500999999999976,0.886,-0.0520373134328358
206,20.599999999999994,0.945,0.006962686567164145
207,20.69999999999999,0.947,0.008962686567164146
208,20.800999999999988,0.907,-0.031037313432835778
209,20.899999999999977,0.868,-0.07003731343283581
210,21.0,0.848,-0.09003731343283583
211,21.09899999999999,0.862,-0.07603731343283582
212,21.19999999999999,0.91,-0.028037313432835775
213,21.302999999999997,0.873,-0.06503731343283581
214,21.399999999999977,0.849,-0.08903731343283583
215,21.50199999999998,0.822,-0.11603731343283585
216,21.599999999999994,0.815,-0.12303731343283586
217,21.700999999999993,0.853,-0.08503731343283583
218,21.800999999999988,0.903,-0.03503731343283578
219,21.899999999999977,0.944,0.005962686567164144
220,22.000999999999976,0.96,0.021962686567164158
221,22.099999999999994,0.941,0.002962686567164141
222,22.19999999999999,0.913,-0.025037313432835773
223,22.303999999999974,0.932,-0.006037313432835756
224,22.399999999999977,0.965,0.026962686567164162
225,22.50199999999998,1.018,0.07996268656716421
226,22.599999999999994,0.997,0.05896268656716419
227,22.69999999999999,0.936,-0.0020373134328357523
228,22.800999999999988,0.875,-0.0630373134328358
229,22.899999999999977,0.857,-0.08103731343283582
230,23.0,0.853,-0.08503731343283583
231,23.099999999999994,0.885,-0.0530373134328358
232,23.200999999999993,0.914,-0.024037313432835772
233,23.302999999999997,0.922,-0.016037313432835765
234,23.399999999999977,0.95,0.011962686567164149
235,23.50199999999998,0.905,-0.03303731343283578
236,23.599999999999994,0.909,-0.029037313432835776
237,23.69999999999999,0.917,-0.02103731343283577
238,23.799999999999983,0.939,0.0009626865671641394
239,23.899999999999977,0.978,0.039962686567164174
240,24.0,0.906,-0.03203731343283578
241,24.099999999999994,0.848,-0.09003731343283583
242,24.19999999999999,0.842,-0.09603731343283584
243,24.303999999999974,0.862,-0.07603731343283582
244,24.399999999999977,0.917,-0.02103731343283577
245,24.50199999999998,1.02,0.08196268656716421
246,24.601,1.027,0.0889626865671641
247,24.69999999999999,1.019,0.0809626865671641
248,24.800999999999988,0.963,0.02496268656716416
249,24.899999999999977,0.929,-0.009037313432835758
250,25.000999999999976,0.94,0.0019626865671641402
251,25.099999999999994,0.99,0.051962686567164185
252,25.19999999999999,1.013,0.0749626865671641
253,25.302999999999997,0.949,0.010962686567164148
254,25.399999999999977,0.898,-0.040037313432835786
255,25.502999999999986,0.887,-0.051037313432835796
256,25.601,0.923,-0.015037313432835764
257,25.69999999999999,0.966,0.027962686567164163
258,25.800999999999988,1.006,0.0679626865671642
259,25.899999999999977,1.027,0.0889626865671641
260,26.0,0.934,-0.004037313432835754
261,26.099999999999994,0.918,-0.02003731343283577
262,26.19999999999999,0.909,-0.029037313432835776
263,26.302999999999997,0.915,-0.02303731343283577
264,26.399999999999977,0.989,0.050962686567164184
265,26.50199999999998,1.034,0.09596268656716422
266,26.599999999999994,0.993,0.05496268656716419
267,26.69999999999999,0.925,-0.013037313432835762
268,26.800999999999988,0.889,-0.049037313432835794
269,26.899999999999977,0.921,-0.017037313432835766
270,27.0,0.959,0.020962686567164157
271,27.099999999999994,1.013,0.0749626865671641
272,27.19999999999999,1.005,0.06696268656716409
273,27.303999999999974,0.948,0.009962686567164147
274,27.399999999999977,0.896,-0.04203731343283579
275,27.50199999999998,0.893,-0.04503731343283579
276,27.599999999999994,0.935,-0.003037313432835753
277,27.69999999999999,0.988,0.04996268656716418
278,27.800999999999988,0.977,0.03896268656716417
279,27.899999999999977,0.971,0.03296268656716417
280,28.0,0.892,-0.04603731343283579
281,28.099999999999994,0.883,-0.0550373134328358
282,28.19999999999999,0.867,-0.07103731343283581
283,28.303999999999974,0.941,0.002962686567164141
284,28.399999999999977,0.988,0.04996268656716418
285,28.50199999999998,1.026,0.08796268656716422
286,28.599999999999994,1.014,0.0759626865671642
287,28.69999999999999,0.917,-0.02103731343283577
288,28.800999999999988,0.886,-0.0520373134328358
289,28.900999999999982,0.882,-0.0560373134328358
290,29.0,0.939,0.0009626865671641394
291,29.099999999999994,0.975,0.03696268656716417
292,29.19999999999999,0.968,0.029962686567164165
293,29.303999999999974,0.949,0.010962686567164148
294,29.399999999999977,0.896,-0.04203731343283579
295,29.50199999999998,0.913,-0.025037313432835773
296,29.599999999999994,0.922,-0.016037313432835765
297,29.69999999999999,0.943,0.004962686567164143
298,29.800999999999988,1.0,0.061962686567164194
299,29.899999999999977,0.979,0.040962686567164175
